	soprano	violin	year of recording	year of first release	label	studio - live	published - unpublished	date and place of recording
Csengery+Keller 1987 (CK87)	Adrienne Csengery	András Keller	1987			studio	unpublished	WDR production 27/4/1987; archive no. 3183310101 broadcast 6/5/1987, 21:00-22:30 h) (recording of world premiere on 25/04/1987 not preserved)
Csengery+Keller 1990 (CK90)	Adrienne Csengery	András Keller	1990	1995	Hungaroton HCD 31135	studio	published	1990, Szombathely, Calvary Church
Komsi+Oramo 1994 (KO94)	Anu Komsi	Sakari Oramo	1994	1994	3sat	studio	published	film after puppet theater production of Figurentheater Tübingen, 3sat, 1994
Komsi+Oramo 1995 (KO95)	Anu Komsi	Sakari Oramo	1995	1996	Ondine ODE 868–2	studio	published	08/1995, Helsinki, Kanneltalo
Whittlesey+Sallaberger 1997 (WS97)	Christine Whittlesey	Oswald Sallaberger	1997			live	unpublished	19/9/1997, Tabaklager Austria Tabak, Schwaz, recording Austrian Broadcasting Corporation (ORF), SS01+3610+3–5_T
Pammer+Kopatchinskaja 2004 (PK04)	Anna Maria Pammer	Patricia Kopatchinskaja	2004			live	unpublished	2004, Basel
Banse+Keller 2005 (BK05)	Juliane Banse	András Keller	2005	2006	ECM New Series 1965 476 3099	studio	published	09/2005, Reitstadel, Neumarkt
Arnold+Pogossian 2004 (AP04)	Tony Arnold	Movses Pogossian	2004	2009	BRIDGE 9270 	studio	published	23–25/08/2004, Lippes Concert Hall, Buffalo, NY
Arnold+Pogossian 2006 (AP06)	Tony Arnold	Movses Pogossian	2006	2009	BRIDGE 9270 	live	published	06/09/2006, Komitas Recital Hall, Yerevan, Armenia
Melzer+Stark 2012 (MS12)	Caroline Melzer	Nurit Stark	2012	2015	BIS-2175	studio	published	10/2012, Deutschlandradio Kultur, Studio Gärtnerstraße, Berlin
Melzer+Stark 2013 (MS13) 	Caroline Melzer	Nurit Stark	2013			live	unpublished	2013, recording of Deutschlandradio Kultur, Jewish Museum Berlin
Kammer+Widmann 2017 (KW17)	Salome Kammer	Caroline Widmann	2017			live	unpublished	18/05/2017, Schwetzinger Festspiele
Melzer+Stark 2017 (MS17) 	Caroline Melzer	Nurit Stark	2017			live	unpublished	24/11/2017, Wien Modern, Casino Baumgarten; recording of a concert featuring a film production
Melzer+Stark 2019 (MS19) 	Caroline Melzer	Nurit Stark	2019			live	unpublished	22/11/2019, Kulturzentrum bei den Minoriten, Graz, cubus (PETAL recording)
8 duos								
8 sopranos								
7 violinists								
14 recordings								
